article,person
130004653797,P00003
130004653797,P00071
130004653797,P00072
130004653797,P00073
130004653797,P00082
130004653797,P00083
130004653797,P00084
130004653797,P00085
130004653797,P00086
130004654089,P00068
130004654089,P00087
130004654089,P00001
130004654089,P00069
130004654089,P00070
130004654089,P00003
130004654089,P00088
130004654089,P00089
130004654089,P00005
130004654089,P00090
130004654089,P00091
130004654089,P00007
130004654090,P00092
130004654090,P00001
130004654090,P00003
130004654090,P00093
130004654090,P00094
130004654090,P00095
130004654134,P00027
130004654134,P00001
130004654134,P00002
130004654134,P00003
130004654134,P00071
130004654134,P00072
130004654134,P00073
130004654134,P00074
130004654135,P00041
130004654135,P00001
130004654135,P00003
130004654135,P00096
130004654135,P00097
130004654135,P00098
130004654181,P00087
130004654181,P00068
130004654181,P00001
130004654181,P00003
130004654181,P00089
130004654181,P00088
130004654181,P00005
130004654181,P00007
130004654182,P00001
130004654182,P00099
130004654182,P00100
130004654182,P00003
130004654182,P00072
130004654182,P00101
130004654182,P00102
130004654182,P00074
130004927345,P00001
130004927345,P00067
130004927345,P00068
130004927345,P00069
130004927345,P00070
130004927345,P00003
130004927345,P00072
130004927345,P00103
130004927345,P00104
130004927345,P00105
130004927345,P00106
130004927345,P00074
130005022937,P00021
130005022937,P00001
130005022937,P00002
130005022937,P00003
130005022937,P00107
130005022937,P00072
130005022937,P00073
130005022937,P00074
130005023077,P00001
130005023077,P00002
130005023077,P00020
130005023077,P00019
130005023077,P00014
130005023077,P00008
130005023077,P00003
130005023077,P00072
130005023077,P00073
130005023077,P00108
130005023077,P00109
130005023077,P00110
130005023077,P00111
130005023077,P00074
130005023269,P00001
130005023269,P00112
130005023269,P00002
130005023269,P00003
130005023269,P00038
130005023269,P00113
130005023269,P00073
130005023269,P00074
130005023281,P00025
130005023281,P00001
130005023281,P00002
130005023281,P00003
130005023281,P00080
130005023281,P00072
130005023281,P00073
130005023281,P00074
130005023282,P00027
130005023282,P00001
130005023282,P00002
130005023282,P00003
130005023282,P00071
